fruit_name,mass,height
lemon,116,7.9
lemon,116,8.5
lemon,116,8
lemon,116,8.1
lemon,118,8
lemon,118,8.1
lemon,120,8.4
lemon,130,8.2
lemon,132,8.7
lemon,152,9
lemon,174,10.1
lemon,186,9.2
lemon,194,10.3
lemon,196,9.7
lemon,200,10.5
lemon,216,10.2
apple,140,7.1
apple,152,7.3
apple,154,7.1
apple,156,7.1
apple,156,7.5
apple,156,7.4
apple,160,7.5
apple,162,7.1
apple,162,7.2
apple,164,7.7
apple,166,7.3
apple,168,7.6
apple,170,7.9
apple,172,7
apple,172,7.6
apple,176,7.2
apple,178,7.8
apple,180,6.8
apple,192,7.3
mandarin,76,4
mandarin,80,4.3
mandarin,80,4.3
mandarin,84,4.6
mandarin,86,4.7
