mpg,cylinders,displacement,acceleration,model,origin
18,8,307,12,70,1
15,8,350,11.5,70,1
18,8,318,11,70,1
16,8,304,12,70,1
17,8,302,10.5,70,1
15,8,429,10,70,1
14,8,454,9,70,1
14,8,440,8.5,70,1
14,8,455,10,70,1
15,8,390,8.5,70,1
,4,133,17.5,70,2
,8,350,11.5,70,1
,8,351,11,70,1
,8,383,10.5,70,1
,8,360,11,70,1
15,8,383,10,70,1
14,8,340,8,70,1
,8,302,8,70,1
15,8,400,9.5,70,1
14,8,455,10,70,1
24,4,113,15,70,3
22,6,198,15.5,70,1
18,6,199,15.5,70,1
21,6,200,16,70,1
27,4,97,14.5,70,3
26,4,97,20.5,70,2
25,4,110,17.5,70,2
24,4,107,14.5,70,2
25,4,104,17.5,70,2
26,4,121,12.5,70,2
21,6,199,15,70,1
10,8,360,14,70,1
10,8,307,15,70,1
11,8,318,13.5,70,1
9,8,304,18.5,70,1
27,4,97,14.5,71,3
28,4,140,15.5,71,1
25,4,113,14,71,3
25,4,98,19,71,1
,4,97,20,71,2
19,6,232,13,71,1
16,6,225,15.5,71,1
17,6,250,15.5,71,1
19,6,250,15.5,71,1
18,6,232,15.5,71,1
14,8,350,12,71,1
14,8,400,11.5,71,1
14,8,351,13.5,71,1
14,8,318,13,71,1
12,8,383,11.5,71,1
13,8,400,12,71,1
13,8,400,12,71,1
18,6,258,13.5,71,1
22,4,140,19,71,1
19,6,250,15,71,1
18,6,250,14.5,71,1
23,4,122,14,71,1
28,4,116,14,71,2
30,4,79,19.5,71,2
30,4,88,14.5,71,2
31,4,71,19,71,3
35,4,72,18,71,3
27,4,97,19,71,2
26,4,91,20.5,71,1
24,4,113,15.5,72,3
25,4,97.5,17,72,1
23,4,97,23.5,72,2
20,4,140,19.5,72,1
21,4,122,16.5,72,1
13,8,350,12,72,1
14,8,400,12,72,1
15,8,318,13.5,72,1
14,8,351,13,72,1
17,8,304,11.5,72,1
11,8,429,11,72,1
13,8,350,13.5,72,1
12,8,350,13.5,72,1
13,8,400,12.5,72,1
19,3,70,13.5,72,3
15,8,304,12.5,72,1
13,8,307,14,72,1
13,8,302,16,72,1
14,8,318,14,72,1
18,4,121,14.5,72,2
22,4,121,18,72,2
21,4,120,19.5,72,2
26,4,96,18,72,2
22,4,122,16,72,1
28,4,97,17,72,3
23,4,120,14.5,72,3
28,4,98,15,72,1
27,4,97,16.5,72,3
13,8,350,13,73,1
14,8,304,11.5,73,1
13,8,350,13,73,1
14,8,302,14.5,73,1
15,8,318,12.5,73,1
12,8,429,11.5,73,1
13,8,400,12,73,1
13,8,351,13,73,1
14,8,318,14.5,73,1
13,8,440,11,73,1
12,8,455,11,73,1
13,8,360,11,73,1
18,6,225,16.5,73,1
16,6,250,18,73,1
18,6,232,16,73,1
18,6,250,16.5,73,1
23,6,198,16,73,1
26,4,97,21,73,2
11,8,400,14,73,1
12,8,400,12.5,73,1
13,8,360,13,73,1
12,8,350,12.5,73,1
18,6,232,15,73,1
20,4,97,19,73,3
21,4,140,19.5,73,1
22,4,108,16.5,73,3
18,3,70,13.5,73,3
19,4,122,18.5,73,1
21,6,155,14,73,1
26,4,98,15.5,73,2
15,8,350,13,73,1
16,8,400,9.5,73,1
29,4,68,19.5,73,2
24,4,116,15.5,73,2
20,4,114,14,73,2
19,4,121,15.5,73,2
15,8,318,11,73,1
24,4,121,14,73,2
20,6,156,13.5,73,3
11,8,350,11,73,1
20,6,198,16.5,74,1
21,6,200,17,74,1
19,6,232,16,74,1
15,6,250,17,74,1
31,4,79,19,74,3
26,4,122,16.5,74,1
32,4,71,21,74,3
25,4,140,17,74,1
16,6,250,17,74,1
16,6,258,18,74,1
18,6,225,16.5,74,1
16,8,302,14,74,1
13,8,350,14.5,74,1
14,8,318,13.5,74,1
14,8,302,16,74,1
14,8,304,15.5,74,1
29,4,98,16.5,74,2
26,4,79,15.5,74,2
26,4,97,14.5,74,2
31,4,76,16.5,74,3
32,4,83,19,74,3
28,4,90,14.5,74,1
24,4,90,15.5,74,2
26,4,116,14,74,2
24,4,120,15,74,3
26,4,108,15.5,74,3
31,4,79,16,74,2
19,6,225,16,75,1
18,6,250,16,75,1
15,6,250,21,75,1
15,6,250,19.5,75,1
16,8,400,11.5,75,1
15,8,350,14,75,1
16,8,318,14.5,75,1
14,8,351,13.5,75,1
17,6,231,21,75,1
16,6,250,18.5,75,1
15,6,258,19,75,1
18,6,225,19,75,1
21,6,231,15,75,1
20,8,262,13.5,75,1
13,8,302,12,75,1
29,4,97,16,75,3
23,4,140,17,75,1
20,6,232,16,75,1
23,4,140,18.5,75,1
24,4,134,13.5,75,3
25,4,90,16.5,75,2
24,4,119,17,75,3
18,6,171,14.5,75,1
29,4,90,14,75,2
19,6,232,17,75,1
23,4,115,15,75,2
23,4,120,17,75,2
22,4,121,14.5,75,2
25,4,121,13.5,75,2
33,4,91,17.5,75,3
28,4,107,15.5,76,2
25,4,116,16.9,76,2
25,4,140,14.9,76,1
26,4,98,17.7,76,1
27,4,101,15.3,76,2
17.5,8,305,13,76,1
16,8,318,13,76,1
15.5,8,304,13.9,76,1
14.5,8,351,12.8,76,1
22,6,225,15.4,76,1
22,6,250,14.5,76,1
24,6,200,17.6,76,1
22.5,6,232,17.6,76,1
29,4,85,22.2,76,1
24.5,4,98,22.1,76,1
29,4,90,14.2,76,2
33,4,91,17.4,76,3
20,6,225,17.7,76,1
18,6,250,21,76,1
18.5,6,250,16.2,76,1
17.5,6,258,17.8,76,1
29.5,4,97,12.2,76,2
32,4,85,17,76,3
28,4,97,16.4,76,3
26.5,4,140,13.6,76,1
20,4,130,15.7,76,2
13,8,318,13.2,76,1
19,4,120,21.9,76,2
19,6,156,15.5,76,3
16.5,6,168,16.7,76,2
16.5,8,350,12.1,76,1
13,8,350,12,76,1
13,8,302,15,76,1
13,8,318,14,76,1
31.5,4,98,18.5,77,3
30,4,111,14.8,77,1
36,4,79,18.6,77,2
25.5,4,122,15.5,77,1
33.5,4,85,16.8,77,3
17.5,8,305,12.5,77,1
17,8,260,19,77,1
15.5,8,318,13.7,77,1
15,8,302,14.9,77,1
17.5,6,250,16.4,77,1
20.5,6,231,16.9,77,1
19,6,225,17.7,77,1
18.5,6,250,19,77,1
16,8,400,11.1,77,1
15.5,8,350,11.4,77,1
15.5,8,400,12.2,77,1
16,8,351,14.5,77,1
29,4,97,14.5,77,2
24.5,4,151,16,77,1
26,4,97,18.2,77,3
25.5,4,140,15.8,77,1
30.5,4,98,17,77,1
33.5,4,98,15.9,77,1
30,4,97,16.4,77,3
30.5,4,97,14.1,77,2
22,6,146,14.5,77,3
21.5,4,121,12.8,77,2
21.5,3,80,13.5,77,3
43.1,4,90,21.5,78,2
36.1,4,98,14.4,78,1
32.8,4,78,19.4,78,3
39.4,4,85,18.6,78,3
36.1,4,91,16.4,78,3
19.9,8,260,15.5,78,1
19.4,8,318,13.2,78,1
20.2,8,302,12.8,78,1
19.2,6,231,19.2,78,1
20.5,6,200,18.2,78,1
20.2,6,200,15.8,78,1
25.1,4,140,15.4,78,1
20.5,6,225,17.2,78,1
19.4,6,232,17.2,78,1
20.6,6,231,15.8,78,1
20.8,6,200,16.7,78,1
18.6,6,225,18.7,78,1
18.1,6,258,15.1,78,1
19.2,8,305,13.2,78,1
17.7,6,231,13.4,78,1
18.1,8,302,11.2,78,1
17.5,8,318,13.7,78,1
30,4,98,16.5,78,1
27.5,4,134,14.2,78,3
27.2,4,119,14.7,78,3
30.9,4,105,14.5,78,1
21.1,4,134,14.8,78,3
23.2,4,156,16.7,78,1
23.8,4,151,17.6,78,1
23.9,4,119,14.9,78,3
20.3,5,131,15.9,78,2
17,6,163,13.6,78,2
21.6,4,121,15.7,78,2
16.2,6,163,15.8,78,2
31.5,4,89,14.9,78,2
29.5,4,98,16.6,78,3
21.5,6,231,15.4,79,1
19.8,6,200,18.2,79,1
22.3,4,140,17.3,79,1
20.2,6,232,18.2,79,1
20.6,6,225,16.6,79,1
17,8,305,15.4,79,1
17.6,8,302,13.4,79,1
16.5,8,351,13.2,79,1
18.2,8,318,15.2,79,1
16.9,8,350,14.9,79,1
15.5,8,351,14.3,79,1
19.2,8,267,15,79,1
18.5,8,360,13,79,1
31.9,4,89,14,79,2
34.1,4,86,15.2,79,3
35.7,4,98,14.4,79,1
27.4,4,121,15,79,1
25.4,5,183,20.1,79,2
23,8,350,17.4,79,1
27.2,4,141,24.8,79,2
23.9,8,260,22.2,79,1
34.2,4,105,13.2,79,1
34.5,4,105,14.9,79,1
31.8,4,85,19.2,79,3
37.3,4,91,14.7,79,2
28.4,4,151,16,79,1
28.8,6,173,11.3,79,1
26.8,6,173,12.9,79,1
33.5,4,151,13.2,79,1
41.5,4,98,14.7,80,2
38.1,4,89,18.8,80,3
32.1,4,98,15.5,80,1
37.2,4,86,16.4,80,3
28,4,151,16.5,80,1
26.4,4,140,18.1,80,1
24.3,4,151,20.1,80,1
19.1,6,225,18.7,80,1
34.3,4,97,15.8,80,2
29.8,4,134,15.5,80,3
31.3,4,120,17.5,80,3
37,4,119,15,80,3
32.2,4,108,15.2,80,3
46.6,4,86,17.9,80,3
27.9,4,156,14.4,80,1
40.8,4,85,19.2,80,3
44.3,4,90,21.7,80,2
43.4,4,90,23.7,80,2
36.4,5,121,19.9,80,2
30,4,146,21.8,80,2
44.6,4,91,13.8,80,3
40.9,4,85,17.3,80,2
33.8,4,97,18,80,3
29.8,4,89,15.3,80,2
32.7,6,168,11.4,80,3
23.7,3,70,12.5,80,3
35,4,122,15.1,80,2
23.6,4,140,14.3,80,1
32.4,4,107,17,80,3
27.2,4,135,15.7,81,1
26.6,4,151,16.4,81,1
25.8,4,156,14.4,81,1
23.5,6,173,12.6,81,1
30,4,135,12.9,81,1
39.1,4,79,16.9,81,3
39,4,86,16.4,81,1
35.1,4,81,16.1,81,3
32.3,4,97,17.8,81,3
37,4,85,19.4,81,3
37.7,4,89,17.3,81,3
34.1,4,91,16,81,3
34.7,4,105,14.9,81,1
34.4,4,98,16.2,81,1
29.9,4,98,20.7,81,1
33,4,105,14.2,81,2
34.5,4,100,15.8,81,2
33.7,4,107,14.4,81,3
32.4,4,108,16.8,81,3
32.9,4,119,14.8,81,3
31.6,4,120,18.3,81,3
28.1,4,141,20.4,81,2
,4,121,15.4,81,2
30.7,6,145,19.6,81,2
25.4,6,168,12.6,81,3
24.2,6,146,13.8,81,3
22.4,6,231,15.8,81,1
26.6,8,350,19,81,1
20.2,6,200,17.1,81,1
17.6,6,225,16.6,81,1
28,4,112,19.6,82,1
27,4,112,18.6,82,1
34,4,112,18,82,1
31,4,112,16.2,82,1
29,4,135,16,82,1
27,4,151,18,82,1
24,4,140,16.4,82,1
23,4,151,20.5,82,1
36,4,105,15.3,82,2
37,4,91,18.2,82,3
31,4,91,17.6,82,3
38,4,105,14.7,82,1
36,4,98,17.3,82,1
36,4,120,14.5,82,3
36,4,107,14.5,82,3
34,4,108,16.9,82,3
38,4,91,15,82,3
32,4,91,15.7,82,3
38,4,91,16.2,82,3
25,6,181,16.4,82,1
38,6,262,17,82,1
26,4,156,14.5,82,1
22,6,232,14.7,82,1
32,4,144,13.9,82,3
36,4,135,13,82,1
27,4,151,17.3,82,1
27,4,140,15.6,82,1
44,4,97,24.6,82,2
32,4,135,11.6,82,1
28,4,120,18.6,82,1
31,4,119,19.4,82,1
